Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Model loading time: 0 days, 00 hours, 00 minutes, 01 seconds
Dataset loading time: 0 days, 00 hours, 00 minutes, 00 seconds
Model loading time: 0 days, 00 hours, 00 minutes, 02 seconds
Training time: 0 days, 00 hours, 02 minutes, 56 seconds
